colonos romanos	aprendieron	latín.
Ptolomeo	dio	un "parapegma
Alemania	fue separada	de Alemania
Albania	convirtió	inicialmente en un estado satélite de la Unión Europea
Thomas Paine	murió	a los 72
Judy Garland	rozó ligeramente	Judy Garland (nacida Frances Ethel Gumm
Brexit	permite	al Gobierno escocés
Lin Dan	ganó Lin Dan	Peter Gade
John Adams	rechazando	la divinidad de Jesús
Max Born	permaneció	en la Universidad de Edimburgo
Abraham Lincoln	instruyó a Abraham Lincoln	para Lyman Trumbull
Policía	detuvo a cuatro personas	por arma de fuego en un vehículo
Bahréin	prometió introducir	reformas
Primera Dama Nancy Reagan	ha sido	el presidente más influyente desde Franklin D. Roosevelt
George Herbert Walker Bush	evitó	tomar decisiones o criticar a Ronald Reagan
verde	es	de celos y envidia.
La Edad de Piedra de Europa	terminó	en un área determinada
el río Níger	se encuentra	más de 100 kilómetros al este y el lago Chad
la ciudad de Copenhague	para expandirse	allá de las fortificaciones de la ciudad de Copenhague
O Umar	aprendió	a leer y escribir en la juventud de O Umar
Irrfan Khan	ingresó	en el Hospital Kokilaben Dhirubhai Ambani de Mumbai
Shanghai	tiene	cuatro estaciones de tren principales
escultura	es	una de las artes plásticas.
Bahrein	oficialmente el Reino de	Arabia Saudita
el Reino Unido	mantendrá	bases militares en Irak
futuro gerente general de los Mets de Nueva York, Brodie Van Wagenen Armstrong,	se le asignó	Lovell y Aldrin
Qualcomm	extendió una oferta pública a NXP Semiconductors	el trato
Thomas Paine	abogó	deísmo
ozono	oxida	sulfuros a sulfatos.
África subsahariana	conocida	como el cinturón de la meningitis
Nawazuddin Siddiqui	aparecerá	en "Jogira Sara Ra Ra
las endonucleasas de restricción	cortan	ADN
fronteras nacionales	para hacer	Omán
Rumi, de dieciocho años,	soy	el polvo en el camino de Mahoma.
Dharma	se considera	el objetivo principal de un ser humano en el hinduismo.
Swami Vivekananda	introdujo	hinduismo
Facebook	hizo	mensajes automatizados en las YPG
The Soho Foundry Watt	contemplando	la máquina de vapor
refugiados	salen	alrededores de Alemania Oriental
Coca - Cola Co.	por tener	o de otra manera dirigir a las fuerzas de seguridad paramilitares
Ciudad de México	se había	infame como una de las ciudades más contaminadas del mundo.
Nueva Zelanda	optó por esperar	hasta que se hiciera más investigación
Green	puede comunicar	seguridad para proceder
Bidya Devi Bhandari	fue derrotada	en las elecciones de la Asamblea Constituyente de 2008
Federico Fellini	unió	al consejo editorial de la revista
Estados Unidos	aceptó	un nuevo equilibrio de poder
Radhika Apte	actuó	en Ram Gopal Varma's
Charles - Édouard Jeanneret	fundó	una nueva asociación de arquitectos y constructores modernos
Nero	podría llegar	al Foro
India	es	una colmena constante de actividad
Abraham Lincoln	sufrirá la	muerte
George Bernard Shaw	contribuyó	más de 150 artículos como crítico de teatro para
John Adams	accedió a asistir	a una preparación militar
Primera Dama Nancy Reagan	comenzó	a asistir a los servicios religiosos en la Iglesia Presbiteriana de Bel Air
Abraham Lincoln	fue	el primer presidente republicano y Abraham Lincoln
unas tribus	estaban reuniendo un ejercito	la tierra
Aurangzeb	había emitido	citación pero al ser recibido con desafío
Buda Gautama	creció	en Kapilavastu
Bruce Lee	quejó	de un dolor
ciudad de Kottayam	tiene	un clima moderado
Nelson Rolihlahla Mandela	estudió	Islam
califa Abu Bakr	compilará	Corán 20:14
Thomas Paine	usó	dos ideas del realismo del sentido común escocés
Subhas Chandra Bose	unió a Scottish Church College	Subhas Chandra Bose BA
Joseph Priestley	llamó	al nuevo "aire
O Umar	nació	en La Meca en el clan Banu Adi
las cataratas Victoria	Se	en autobús y tren.
Anil Kapoor	nacido el 24 de diciembre de 1956	debut en Bollywood
más de 2,3 millones de turistas internacionales	visitaron	Qatar
China en su conjunto	estaba	en las garras de una guerra civil Incluso en áreas
George Bernard Shaw	se sintió atraído continuamente	por Shakespeare
Filadelfia	conocida simplemente	como Filadelfia
Fiji	fue readmitido	en la Commonwealth of Nations
Ricardo Ffrench - Davis Gabriel Boric	fue	a la Cámara de Diputados
Bahrein	fue considerado	como el mejor del mundo árabe.
The Soho Foundry Watt	recibió	el Doctorado Honorario en Derecho de la Universidad de Glasgow
psoriasis	afecta	la piel
Irrfan Khan	ancló	Mano Ya Na Mano
Ramakrishna	desarrolló	cáncer de garganta
El Municipio de Agartala	tenía	una población de 17.693
los españoles	drenaron regularmente	el lago original para evitar inundaciones
Tanzania	contabilizó	15 publicaciones por millón de habitantes en revistas catalogadas internacionalmente
fascismo	sentado	a la derecha
Virat Kohli	nació el 5 de noviembre de 1988	la marca con las carreras ganadoras
George Herbert Walker Bush	retuvo	varios Ronald Reagan
Turquía	produce	alrededor de la mitad de la demanda mundial anual
Sudáfrica	tenía	el mandato de Sudáfrica Sudáfrica (15) mandato propio
Alemania nazi	firmó	el Pacto Anti-Komintern con el Japón Imperial
Ramakrishna	es el Señor de	Dakshineswar
Carl Linnaeus	fue nombrado	profesor de medicina
Marsella	había sufrido graves daños	durante la guerra.
China	usó	plata
Qatar	fue recibido	entusiasmo
Europa Occidental	con	alguna migración entre al menos 3 grupos geográficos distintos
El New York Times	colocó	Albania
disputas regionales	persuadieron	Qatar
Bielorrusia	tiene	una densidad de población de unas 50 personas por kilómetro cuadrado
The Soho Foundry Watt	había publicado	los hallazgos de Soho Foundry Watt
O Umar	para tocar	las páginas
Addis Abeba	fue	por un informe de la ONU
Lakshadweep	tiene	una proporción de sexos de 946 mujeres por cada 1000 hombres
Singapur	es	hogar de ONE Championship
Bruce Lee	empezó	por la flexibilidad
Serena Jameka Williams	nacida el 26 de septiembre	1981
Carl Friedrich Gauss	también dedicó	tiempo considerable al Nuevo Testamento en el griego original.
un delegado	incluso para cubrir	John Adams
La ciudad de San Antonio	caballo	la división regional entre el sur y el centro de Texas
George Bernard Shaw	llamó	vacunación
futuro gerente general de los Mets de Nueva York, Brodie Van Wagenen Armstrong,	rechazó	las ofertas
Kannada	es hablado	por 44.5 % de la población Población de Bangalore
Tsai Ing-wen	recibió el	Ph.D.
Carl Linnaeus	regresó	a Hartekamp
historiador Friedrich Meinecke	describió	Adolf Hitler
Primera Dama Nancy Reagan	habiendo vivido	93 años y 120 días
el Gobierno de Bangladesh	es oficialmente	parte del Movimiento de Países No Alineados
África subsahariana	también es	donde el francés de Luisiana ha evolucionado más en los últimos años.
Australia	tiene	la octava población inmigrante más grande de la Tierra
el Gabinete	son los miembros de	Malawi
Australia	preguntó	Brenton Harrison Tarrant
Virat Kohli	estaba particularmente preocupado	por los bolos rápidos de Fidel Edwards Virat Kohli
gente común y los rajas	dieron	Swami Vivekananda
Carl Friedrich Gauss	introdujo los llamados logaritmos gaussianos para elegir	matemáticas
India	ayudando	India a alcanzar 129/7 en 20 overs
India	capturará	tres posiciones montañosas importantes en el estado de Hyderabad
Aaron Hillel Swartz	tenía	dinero para pagar un juicio
Qatar	adoptó	la Constitución de Qatar
gripe española	redujo	nivel educativo en las poblaciones
Australia	mató	51 personas
Ptolomeo	notó	que el jengibre se producía en Ceilán.
Fiji	ha ganado	la mayor cantidad de Campeonatos de las Tres Naciones del Pacífico de los tres equipos participantes.
el templo de Aalok Pashupatinath	fue construido	por Prachanda Deva
Marsella	acogió	el Foro Mundial del Agua
Anil Kapoor	casó	Sunita Bhavnani
los vacilantes franceses	no se sintieron	obligados a "mantener [estas] ambiciones pretenciosas
Gral. Gen.	llegó	al Océano Pacífico
Joseph Priestley	llamó	necesidad filosófica
Marsella	se divide	en 16 distritos municipales
el Estado Islámico	tenía	territorio restante en Irak
Louis Pasteur	también cubrió	uvas con tela esterilizada
Menander I Soter	gobernó	Punjab
Las ricas pesquerías de Tonle Sap	abastecen en gran medida	Camboya
sulfuro de hidrógeno	contribuye	al olor característico de la flatulencia
O Umar	entró	en Jerusalén
Ludwig van Beethoven	para superar	la competencia
musulmanes	se unieron	como una sola comunidad.
Sri Aurobindo	estudió	para el Servicio Civil Indio en King's College
Joseph Priestley	participó	en numerosas guerras de panfletos políticos y religiosos.
Biografías respetables	después	Judy Garland
Bidya Devi Bhandari	fue elegida	tesorera del sindicato de estudiantes
Pakistán Occidental	tenía	para Pakistán Occidental
fuerzas estadounidenses acompañadas por las fuerzas de la Commonwealth de Filipinas	recuperaron	Manila
Bruce Lee	nació	Lee Jun-fan
Hebreo	para ser usado	para tales propósitos.
Guru Tegh Bahadur	regalará	500 monedas para la seguridad del gurú correcto
Edward Bernard Marsh	acercó	Fiji
Éter dietílico	para ver	uso continuo en los países en desarrollo
Louis Pasteur	era	médico ni cirujano
Octubre de 2013	fue	un mes récord con 2,2 millones de pasajeros
El	gobierno de los EE.UU. estaba al tanto	de los acuerdos secretos con al - Qaeda
Finlandia	fue	alrededor del 9000 a.C.
Bruce Lee	comía	comidas con una combinación de verduras, arroz y pescado.
Oracle Systems Corporation	adquirió	PeopleSoft
futuro gerente general de los Mets de Nueva York, Brodie Van Wagenen Armstrong,	fue derribado	por tierra
Suiza	llamada	Romandía
Maharaja Ranjit Singh	veneraba	los gurús sikh como santos
India	fue derrotada	4-0
Paraguay	era	oficialmente la República del Paraguay
un edificio	alberga	el Oireachtas
presidente John Adams	vivió	en una Casa Blanca más auténtica y de mayor estatura.
Judy Garland	tuvo	un aborto
Abraham Lincoln	compareció	ante la Corte Suprema de Illinois
George Herbert Walker Bush	entrenado para	participar
el Krishna mencionado junto con Devaki en el antiguo Upanishad	se muestra	como un auriga
Filadelfia	estuvo representada	por los Washington Grays
software libre	es	una cuestión de libertad, no de precio
Ali ibn Abi Talib	había sido designado	sucesor del profeta islámico Mahoma
Swami Vivekananda	visitó	Punjab
la guerra	deriva	hacia el desastre
Hong Kong	ocupa	cuarto lugar en el Índice de Desarrollo Humano de la ONU
museo	es Nacional de	Omán
George Bernard Shaw	ha sido calificado regularmente	entre los dramaturgos británicos como el segundo después de Shakespeare.
John Adams	accedió a asistir	Thomas Jefferson
Lord Curzon	es el entonces gobernador general de	India británica.
el idioma del Corán	para seguir	la fonología oriental
futuro gerente general de los Mets de Nueva York, Brodie Van Wagenen Armstrong,	hizo un solo	el 9 de septiembre de 1949
Carl Linnaeus	produjo	un libro sobre las plantas
ácido nítrico	se usa	como un medio barato en las joyerías.
John Adams	no negoció	con los holandeses un tratado de amistad y comercio
primer ministro Jawaharlal Nehru	pronunció	un "discurso provocativo
Aaron Hillel Swartz	convirtió	en miembro del grupo de trabajo
Oracle Corporation	donaría	el código y la marca registrada de OpenOffice.org a Apache Software Foundation
Nerón	por haber sido	ajeno a la realidad
Soho Foundry Watt	intentó comercializar	el invento de Watt
Bielorrusia	limita	cinco países
Bangalore	tiene	un clima de sabana tropical ( clasificación climática de Köppen
China	niega	a hacerlo hasta el 31 de agosto de 1975
John Adams	accedió a asistir	un Comité de los Cinco
ADN	Se entendía	contenía codones
Windows10	enfatiza mucho	servicios freemium
boro	también puede aumentar	la dureza de la superficie de aceros y aleaciones mediante la boruración.
Dios	creó	el mundo
William Shakespeare	pudo haber comenzado	un borrador en 1591
Carl Friedrich Gauss	produjo	otras tres demostraciones
Hombre y Superman	dando	George Bernard Shaw
El puente del río Yangtze de Shanghái	es	Shanghái
Charles - Édouard Jeanneret	conoció	otro ex miembro de Faisceau
Nerón	cantó	el " Saco de Ilión
Bretaña	declaró	guerra
religión oficial	es	islam
Guinea Ecuatorial	estuvo gobernada	por el presidente vitalicio Francisco Macías Nguema
China	ha desarrollado	varios misiles balísticos intercontinentales de largo alcance, como el DF-31
John Adams	no al	"Plan de Tratados
Cristianismo	practicado	por el 0,3 % de la población la población de Níger
Radhika Apte	ha pronunciado	contra el acoso sexual en la industria cinematográfica india
Sirius	aleja	más
Australia	avanza	hacia Asia
Bidya Devi Bhandari	nombrada	Kham Bahadur Khati
Qualcomm	nunca había participado	en los estándares de NXP Semiconductors
Jean-Joseph Sanfourche	es autor de	obras gráficas y pictóricas
Abraham Lincoln	evitó	intervención británica
Australia	logró asegurar	la victoria
Thomas Paine	con la escritura	especialmente
John Maynard Keynes	autor	un libro titulado
Italia fascista	invadió	Etiopía
actor Shawn Mcclintock	interpreta	Aaron Hillel Swartz
España	puede haber sido	más activa
cometa	volverá a visitar	ciudad natal de Greenock, The Soho Foundry Watt
Virat Kohli	fue ayudado	India
The Soho Foundry Watt	fue muy respetado	por otros hombres destacados de la Revolución Industrial.
La palabra	significa	eterno.
Sánscrito	iluminado	en INS
el premio Padma Shri	otorgado	por el presidente de la India
monte Canopus o Canopus Hill	se llamaba más comúnmente	Karma Rishi ས blað ི །
Bretaña	se vio obligada	a evacuar Francia por mar desde Dunkerque y Francia.
futuro gerente general de los Mets de Nueva York, Brodie Van Wagenen Armstrong,	mudó	a la Base de la Fuerza Aérea de Nellis
Adhan	era	la práctica en árabe
presidente de animación Peter Schneider	es característica de	Walt Disney
Pakistán	era	a ojos de India el 'agresor' de sus propias fronteras
las Seychelles	logran	independencia
O Umar	hizo	varios viajes a Roma y Persia
bautismo	es considerado	un sacramento en la mayoría de las iglesias.
Estados Unidos	cazará a	los atacantes
Brasil y Nueva Zelanda	evacuados	Nacionales propios de Brasil y Nueva Zelanda y otros
India	rechazó	el plan Dixon de la República Popular China
Estados Unidos	preocupado	por los acontecimientos en Europa continental y el sudeste asiático
ex gobernador de Kansas, Alexander Ramsey,	dijo	Abraham Lincoln
The Soho Foundry Watt	para ir	The Soho Foundry Watt afirma
Paramahansa Yogananda	trabajó	los medios de comunicación
El país más seco del África subsahariana	no tiene	enemigos en la región
un Dios	abre	corazón de la guía al Islam
George Herbert Walker Bush	negó a dejar	el Partido Republicano
Partido Comunista de China	habilitó	Deng Xiaoping
Virat Kohli	convirtió	el primer bateador en la historia del cricket de prueba
Andorra	tiene	una de las tasas de paro más bajas del mundo
Philippine Airlines	para celebrar	el servicio sincero característico de la aerolínea
Abraham Lincoln	enviar	un mensaje
Adolf Hitler	no	Esta ciudadanía alemana
Bielorrusia	tiene	una precipitación media anual de
ácido clorhídrico	es	un ejemplo de un ácido fuerte.
Lord Byron	mudó	al segundo piso de una casa de dos pisos
México	convirtió	México en problema de falta de autosuficiencia alimentaria
Nadine Gordimer	tiene	un temperamento básicamente religioso
Abraham Lincoln	suspendió	habeas corpus
Guru Baba Dyal Singh	tiró	de un arco fuerte
ozono	reacciona directamente	con los dobles enlaces orgánicos.
China	financió	el ferrocarril TAZARA de Dar es Salaam a las relaciones de Zambia
Mesoamérica	dominada	por Uruk
policía	aumentó	visibilidad en las calles
la ciudad de París	recibió 12,6 millones de visitantes	por estancias hoteleras
Mohammad Hamid Ansari	tiene	como embajador indio en Australia
Madera	utilizada	en la fabricación de cartón.
la Unión Soviética	derrumbó	en 1991
Paraguay	oficialmente la República del Paraguay	Bolivia
Gran Bretaña	negó a desalojar	fuertes en el noroeste
el único método	para volar	Checoslovaquia
el pintor Charles L'Eplattenier	había hecho	Charles - Édouard Jeanneret
francés de Luisiana	no lo habla	casi nadie de la población en general ni de los trabajadores migrantes.
las Cataratas Victoria	basado	en el ancho combinado de las Cataratas Victoria y la altura de
Phoolan Devi	cría	más Phoolan Devis
actual presidente Ma Ying - Jeou del gobierno del Kuomintang	por no responder	Tsai Ing-wen
futuro gerente general de los Mets de Nueva York, Brodie Van Wagenen Armstrong,	murió	el 25 de agosto.
Isla de Hong Kong	ofrece	siete canales de radio y tres canales de televisión
distrito de Warangal	se creó	fusionando Warungal, Khummettu y parte de Bhonagheer circars.
Oracle Systems Corporation	alegando	fraude
los británicos	habían liberado	el Reino de Mysore
La hipótesis del mar de aire de Torricelli	podría haber llevado	Evangelista Torricelli
O Umar	para vivir	tanto como O Umar había
Marsella	está conectada	con Bouches - du - Rhône a través de un canal
Vermont	fue	el último estado en tener una tienda en 1995
Guinea Ecuatorial	mantiene	español
Radhika Apte	nació el 7 de septiembre de 1985	primera película hindi Shor
John Adams	accedió a asistir	la Petición de la Rama de Olivo desde que se promulgó
El Imperio de Malí	se desplazará	oeste del lago Chad
Joseph Priestley	rechazó	varias facciones políticas que compiten por las súplicas de respaldo de Priestley.
Évariste Galois	pie	y propuso un brindis
el gobierno escocés	abandonó	la unión europea
Isaac Newton	descrito	en la Primera ley del movimiento de Isaac Newton
Carl Friedrich Gauss	nunca publicó	la posibilidad de geometrías no euclidianas
El oeste	se llamó	Bengala Occidental
futuro gerente general de los Mets de Nueva York, Brodie Van Wagenen Armstrong,	obtuvo	el rango de Eagle Scout
Valmiki	compuso	el Ramayana
futuro gerente general de los Mets de Nueva York, Brodie Van Wagenen Armstrong,	voló	aviones Gates Learjet nuevos y experimentales
Tsai Ing-wen	rechazó	un país
Italia ocupada por los alemanes	hizo	una incursión en el Egipto controlado por los británicos.
George Bernard Shaw	encontró	paz para escribir durante las largas temporadas en el mar
Skyfall	recibió	críticas generalmente positivas de críticos y fanáticos.
Bruce Lee	nació Lee Jun-fan	nunchaku y también encendiendo fósforos
Primera Dama Nancy Reagan	sobrevivió	un intento de asesinato
Tipu Sultan	provocando	conflicto con Tipu Sultan
guerra	avecinaba	a fines de 1861 entre [
Ricardo Ffrench - Davis Gabriel Boric	es	como miembro de la Cámara de Diputados
Australia	nunca se ha repetido	en Prueba de cricket
idioma ruso en Israel	es hablado	por el 14,2% de la población
Tipu Sultan	buscó	la investidura del emperador mogol Shah Alam II
Virat Kohli	entrenó	en la Academia de Cricket de West Delhi
Joseph Priestley	fundó	el "Repositorio Teológico
